Sentence,label
"To address the need for a large and high - quality dataset for a new complex and cross-domain semantic parsing task , we introduce Spider , which consists of 200 databases with multiple tables , 10,181 questions , and 5,693 corresponding complex SQL queries , all written by 11 college students spending a total of 1,000 man-hours .",dataset
"As illustrates , given a database with multiple tables including foreign keys , our corpus creates and annotates complex questions and SQL queries including different SQL clauses such as joining and nested query .",dataset
"The performances of the Seq2Seq - based basic models including Seq2Seq , Seq2Seq + Attention , and Seq2Seq + Copying are very low .",result
"In contrast , SQLNet and TypeSQL that utilize SQL structure information to guide the SQL generation process significantly outperform other Seq2Seq models .",result
"As Component Matching results in shows , all models struggle with WHERE clause prediction the most .",result
"In general , the over all performances of all models are low , indicating that our task is challenging and there is still a large room for improvement .",result
Spider : A Large - Scale Human - Labeled Dataset for Complex and Cross - Domain Semantic Parsing and Text - to - SQL Task,research-problem
Semantic parsing ( SP ) is one of the most important tasks in natural language processing ( NLP ) .,research-problem
Existing datasets for SP have two shortcomings .,research-problem
Our dataset and task are publicly available at https://yale-lily. github.io/ spider .,code
"Overall , we observe that COARSE2FINE outperforms ONESTAGE , which suggests that disentangling high - level from low - level information dur - 62.3 SNM + COPY 71 and .",result
Again we observe that the sketch encoder is beneficial and that there is an 8.9 point difference in accuracy between COARSE2FINE and the oracle .,result
"Compared with previous neural models that utilize syntax or grammatical information ( SEQ2 TREE , ASN ; the second block in ) , our method performs competitively despite the use of relatively simple decoders .",result
Our model is superior to ONESTAGE as well as to previous best performing systems .,result
"COARSE2FINE 's accuracies on aggregation agg op and agg col are 90.2 % and 92.0 % , respectively , which is comparable to SQLNET .",result
So the most gain is obtained by the improved decoder of the WHERE clause .,result
Sketches produced by COARSE2FINE are more accurate across the board .,result
"As can be seen , predicting the sketch correctly boosts performance .",result
"We also find that a tableaware input encoder is critical for doing well on this task , since the same question might lead to different SQL queries depending on the table schemas .",result
"On WIKISQL , the sketches predicted by COARSE2FINE are marginally better compared with ONESTAGE .",result
"Dimensions of hidden vectors and word embeddings were selected from { 250 , 300 } and { 150 , 200 , 250 , 300 } , respectively .",hyperparameter
"The dropout rate was selected from { 0.3 , 0.5 } .",hyperparameter
Label smoothing was employed for GEO and ATIS .,hyperparameter
The smoothing parameter was set to 0.1 .,hyperparameter
"Word embeddings were initialized by GloVe , and were shared by table encoder and input encoder in Section 4.3 .",hyperparameter
The part - of - speech tags were obtained by the spaCy toolkit .,hyperparameter
"The learning rate was selected from { 0.002 , 0.005 } .",hyperparameter
"The batch size was 200 for WIKISQL , and was 64 for other datasets .",hyperparameter
Early stopping was used to determine the number of epochs .,hyperparameter
We appended 10 - dimensional part - of - speech tag vectors to embeddings of the question words in WIKISQL .,hyperparameter
We used the RMSProp optimizer to train the models .,hyperparameter
"In this work , we propose to decompose the decoding process into two stages .",model
"The first decoder focuses on predicting a rough sketch of the meaning representation , which omits low - level details , such as arguments and variable names .",model
"Then , a second decoder fills in missing details by conditioning on the natural language input and the sketch itself .",model
"Specifically , the sketch constrains the generation process and is encoded into vectors to guide decoding .",model
"Firstly , the decomposition disentangles high - level from low - level semantic information , which enables the decoders to model meaning at different levels of granularity .",model
"Secondly , the model can explicitly share knowledge of coarse structures for the examples that have the same sketch ( i.e. , basic meaning ) , even though their actual meaning representations are different ( e.g. , due to different details ) .",model
"Thirdly , after generating the sketch , the decoder knows what the basic meaning of the utterance looks like , and the model can use it as global context to improve the prediction of the final details .",model
Coarse - to - Fine Decoding for Neural Semantic Parsing,research-problem
Semantic parsing aims at mapping natural language utterances into structured meaning representations .,research-problem
Our implementation and pretrained models are available at https :// github.com/donglixp/coarse2fine.,code
Semantic Parsing Tab Our system outperforms existing neural network - based approaches .,result
"Interestingly , we found the model without parent feeding achieves slightly better accuracy on GEO , probably because that its relative simple grammar does not require extra handling of parent information .",result
Code Generation Tab 2 lists the results on DJANGO TRANX achieves state - of - the - art results on DJANGO .,result
"We also find parent feeding yields + 1 point gain in accuracy , suggesting the importance of modeling parental connections in ASTs with complex domain grammars ( e.g. , Python ) .",result
"3 . We find TRANX , although just with simple extensions to adapt to this dataset , achieves impressive results and outperforms many task - specific methods .",result
TRANX : A Transition - based Neural Abstract Syntax Parser for Semantic Parsing and Code Generation,research-problem
"In this paper we introduce a new NLP dataset and benchmark for predicting prosodic prominence from text which is based on the recently published Libri TTS corpus , containing automatically generated prosodic prominence labels for over 260 hours or 2.8 million words of English audio books , read by 1230 different speakers .",dataset
To our knowledge this will be the largest publicly available dataset with prosodic annotations .,dataset
Predicting Prosodic Prominence from Text with Pre-trained Contextualized Word Representations,research-problem
In this paper we introduce a new natural language processing dataset and benchmark for predicting prosodic prominence from written text .,research-problem
Prosody prediction can be turned into a sequence labeling task by giving each word in a text a discrete prominence value based on the amount of emphasis the speaker gives to the word when reading the text .,research-problem
All systems except the Minitagger and CRF are our implementations using PyTorch and are made available on GitHub : https://github.com/Helsinki - NLP / prosody .,code
Our NQG framework outperforms the PCFG - Trans and s 2s + att baselines by a large margin .,result
"The extended version , NQG ++ , has 1.11 BLEU score gain over NQG + , which shows that initializing with pre-trained word vectors and sharing them between encoder and decoder help learn better word representation .",result
"With the help of copy mechanism , NQG + has a 2.05 BLEU improvement since it solves the rare words problem .",result
"In this work we conduct a preliminary study on question generation from text with neural networks , which is denoted as the Neural Question Generation ( NQG ) framework , to generate natural language questions from text without pre-defined rules .",model
The Neural Question Generation framework extends the sequence - to - sequence models by enriching the encoder with answer and lexical features to generate answer focused questions .,model
"Concretely , the encoder reads not only the input sentence , but also the answer position indicator and lexical features .",model
"The answer position feature denotes the answer span in the input sentence , which is essential to generate answer relevant questions .",model
The lexical features include part - of - speech ( POS ) and named entity ( NER ) tags to help produce better sentence encoding .,model
"Lastly , the decoder with attention mechanism generates an answer specific question of the sentence .",model
Neural Question Generation from Text : A Preliminary Study,research-problem
Automatic question generation aims to generate questions from a text passage where the generated questions can be answered by certain sub- spans of the given passage .,research-problem
"Automatic question generation from natural language text aims to generate questions taking text as input , which has the potential value of education purpose ) .",research-problem
"As the reverse task of question answering , question generation also has the potential for providing a large scale corpus of question - answer pairs .",research-problem
"The answer position indicator , as expected , plays a crucial role in answer focused question generation as shown in the NQG ?",ablation-analysi
"NER , show that word case , POS and NER tag features contributes to question generation .",ablation-analysi
Multimodal Differential Network for Visual Question Generation,research-problem
