subject,predicate,object,label,file path
Contribution,has,Dataset,datase,/content/training-data/semantic_parsing/0/triples/dataset.txt
Dataset,for,new complex and cross-domain semantic parsing task,datase,/content/training-data/semantic_parsing/0/triples/dataset.txt
new complex and cross-domain semantic parsing task,introduce,Spider,datase,/content/training-data/semantic_parsing/0/triples/dataset.txt
Spider,consists of,200 databases,datase,/content/training-data/semantic_parsing/0/triples/dataset.txt
200 databases,with,multiple tables,datase,/content/training-data/semantic_parsing/0/triples/dataset.txt
200 databases,with,"10,181 questions",datase,/content/training-data/semantic_parsing/0/triples/dataset.txt
200 databases,with,"5,693 corresponding complex SQL queries",datase,/content/training-data/semantic_parsing/0/triples/dataset.txt
Dataset,creates and annotates,questions,datase,/content/training-data/semantic_parsing/0/triples/dataset.txt
Dataset,creates and annotates,SQL queries,datase,/content/training-data/semantic_parsing/0/triples/dataset.txt
SQL queries,including,different SQL clauses,datase,/content/training-data/semantic_parsing/0/triples/dataset.txt
different SQL clauses,such as,joining and nested query,datase,/content/training-data/semantic_parsing/0/triples/dataset.txt
Contribution,Code,https://yale-lily. github.io/ spider,code,/content/training-data/semantic_parsing/0/triples/code.txt
Contribution,has research problem,Complex and Cross - Domain Semantic Parsing,research-problem,/content/training-data/semantic_parsing/0/triples/research-problem.txt
Contribution,has research problem,Text - to - SQL,research-problem,/content/training-data/semantic_parsing/0/triples/research-problem.txt
Contribution,has research problem,Semantic parsing ( SP ,research-problem,/content/training-data/semantic_parsing/0/triples/research-problem.txt
Contribution,has research problem,SP,research-problem,/content/training-data/semantic_parsing/0/triples/research-problem.txt
Contribution,has,Results,results,/content/training-data/semantic_parsing/0/triples/results.txt
Results,has,over all performances,results,/content/training-data/semantic_parsing/0/triples/results.txt
over all performances,of,all models,results,/content/training-data/semantic_parsing/0/triples/results.txt
all models,are,low,results,/content/training-data/semantic_parsing/0/triples/results.txt
Results,has,performances,results,/content/training-data/semantic_parsing/0/triples/results.txt
performances,of,SQLNet and TypeSQL,results,/content/training-data/semantic_parsing/0/triples/results.txt
SQLNet and TypeSQL,utilize,SQL structure information,results,/content/training-data/semantic_parsing/0/triples/results.txt
SQL structure information,to guide,SQL generation process,results,/content/training-data/semantic_parsing/0/triples/results.txt
SQLNet and TypeSQL,significantly outperform,other Seq2Seq models,results,/content/training-data/semantic_parsing/0/triples/results.txt
performances,of,Seq2Seq - based basic models,results,/content/training-data/semantic_parsing/0/triples/results.txt
Seq2Seq - based basic models,including,Seq2Seq,results,/content/training-data/semantic_parsing/0/triples/results.txt
Seq2Seq - based basic models,including,Seq2Seq + Attention,results,/content/training-data/semantic_parsing/0/triples/results.txt
Seq2Seq - based basic models,including,Seq2Seq + Copying,results,/content/training-data/semantic_parsing/0/triples/results.txt
Seq2Seq - based basic models,are,very low,results,/content/training-data/semantic_parsing/0/triples/results.txt
Results,has,all models,results,/content/training-data/semantic_parsing/0/triples/results.txt
all models,struggle with,WHERE clause prediction,results,/content/training-data/semantic_parsing/0/triples/results.txt
Contribution,Code,https :// github.com/donglixp/coarse2fine,code,/content/training-data/semantic_parsing/2/triples/code.txt
Contribution,has,Hyperparameters,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
Hyperparameters,appended,10 - dimensional part - of - speech tag vectors,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
10 - dimensional part - of - speech tag vectors,to,embeddings,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
embeddings,of,question words,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
question words,in,WIKISQL,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
Hyperparameters,has,part - of - speech tags,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
part - of - speech tags,obtained by,spaCy toolkit,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
Hyperparameters,has,learning rate,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
learning rate,selected from,"{ 0.002 , 0.005 }",hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
Hyperparameters,has,Dimensions,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
Dimensions,of,hidden vectors and word embeddings,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
hidden vectors and word embeddings,selected from,"{ 250 , 300 } and { 150 , 200 , 250 , 300 }",hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
Hyperparameters,has,smoothing parameter,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
smoothing parameter,set to,0.1,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
Hyperparameters,has,batch size,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
batch size,was,200,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
200,for,WIKISQL,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
batch size,was,64,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
64,for,other datasets,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
Hyperparameters,has,dropout rate,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
dropout rate,selected from,"{ 0.3 , 0.5 }",hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
